what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1275421371988
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1275421371989
os,sysinfo,,,"macosx",1275421371992
arch,sysinfo,,,"x86",1275421371992
ws,sysinfo,,,"carbon",1275421371992
locale,sysinfo,,,"en_US",1275421371992
processors,sysinfo,,,"2",1275421371992
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1275421371992
java.runtime.version,sysinfo,,,"1.5.0_20-b02-315",1275421371992
java.specification.name,sysinfo,,,"Java Platform API Specification",1275421371992
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1275421371992
java.specification.version,sysinfo,,,"1.5",1275421371992
java.vendor,sysinfo,,,"Apple Inc.",1275421371992
java.version,sysinfo,,,"1.5.0_20",1275421371992
java.vm.info,sysinfo,,,"mixed mode",1275421371992
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1275421371992
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1275421371992
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1275421371992
java.vm.specification.version,sysinfo,,,"1.0",1275421371992
java.vm.vendor,sysinfo,,,"Apple Inc.",1275421371992
java.vm.version,sysinfo,,,"1.5.0_20-141",1275421371992
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1275421372029
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.ui",1275421372048
started,bundle,org.tigris.subversion.subclipse.ui,1.6.5,"org.tigris.subversion.subclipse.ui",1275421372123
started,bundle,org.eclipse.mylyn.context.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.core",1275421372230
