what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.core",1275992967099
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.ui",1275992967099
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1275992967099
started,bundle,org.eclipse.mylyn.commons.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.commons.ui",1275992967099
started,bundle,org.eclipse.mylyn.context.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.core",1275992967099
started,bundle,org.eclipse.mylyn.context.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.ui",1275992967099
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.monitor.ui",1275992967099
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui",1275992967099
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1275992967099
started,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1275992967099
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1275992967100
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1275992967100
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.core",1275992967100
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1275992967100
os,sysinfo,,,"macosx",1275992967102
arch,sysinfo,,,"x86",1275992967102
ws,sysinfo,,,"carbon",1275992967102
locale,sysinfo,,,"en_US",1275992967102
processors,sysinfo,,,"2",1275992967103
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1275992967103
java.runtime.version,sysinfo,,,"1.6.0_20-b02-279-10M3065",1275992967103
java.specification.name,sysinfo,,,"Java Platform API Specification",1275992967103
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1275992967103
java.specification.version,sysinfo,,,"1.6",1275992967103
java.vendor,sysinfo,,,"Apple Inc.",1275992967103
